category,total_orders,revenue
bed_bath_table,9272,1692714.28
health_beauty,8646,1620684.04
computers_accessories,6530,1549372.59
furniture_decor,6307,1394466.93
watches_gifts,5495,1387362.45
sports_leisure,7530,1349446.93
housewares,5743,1069787.97
auto,3810,833745.67
garden_tools,3448,810614.93
cool_stuff,3559,744649.32
office_furniture,1254,636124.88
toys,3804,603564.32
baby,2809,525553.22
perfumery,3086,496263.6
telephony,4093,469890.57
stationery,2264,308674.31
pet_shop,1688,307716.36
computers,177,274671.88
electronics,2517,245869.53
construction_tools_construction,736,237873.48
musical_instruments,611,221118.16
small_appliances,609,217024.02
fashion_bags_accessories,1820,213517.16
fixed_telephony,212,192338.39
luggage_accessories,1019,185054.2
consoles_games,1018,183804.19
home_construction,483,134616.24
furniture_living_room,414,134299.11
home_appliances_2,227,118854.06
agro_industry_and_commerce,177,115632.24
home_appliances,747,93843.62
air_conditioning,246,88849.72
home_confort,392,83694.01
kitchen_dining_laundry_garden_furniture,241,73406.15
construction_tools_lights,242,70343.2
drinks,287,68909.73
signaling_and_security,138,68263.59
books_general_interest,496,62818.01
construction_tools_safety,159,60932.07
audio,348,60181.0
industry_commerce_and_business,232,55270.81
small_appliances_home_oven_and_coffee,72,50281.65
food,441,45340.45
market_place,274,44615.77
costruction_tools_garden,190,41506.7
fashion_shoes,235,31755.93
furniture_bedroom,90,30057.23
art,195,28498.45
food_drink,221,26609.43
books_technical,256,24437.39
costruction_tools_tools,97,21069.07
christmas_supplies,125,18893.4
fashion_male_clothing,106,16723.46
fashion_underwear_beach,117,12416.82
tablets_printing_image,79,10042.93
cine_photo,63,9242.84
music,38,6901.43
books_imported,50,6443.13
dvds_blu_ray,56,6416.99
party_supplies,38,5938.54
furniture_mattress_and_upholstery,37,5904.75
fashio_female_clothing,36,4902.67
diapers_and_hygiene,25,4126.17
fashion_sport,26,3605.83
la_cuisine,13,2913.53
arts_and_craftmanship,23,2326.17
flowers,29,2213.01
home_comfort_2,24,1710.54
cds_dvds_musicals,12,1199.43
fashion_childrens_clothes,7,718.98
security_and_services,2,324.51
